季節,詳細季節,親季語,親季語よみがな,子季語,文字数,表示用子季語,季語の説明,分類
muki,無季,無季,むき,無季,2,,特定の季節に属さない、あるいは四季を通じて存在する事物・情景。季節感に縛られず自由なテーマで作句される無季俳句に用いられる。,無季
haru,三春,暖か,あたたか,暖か,2,ぬくし、ぬくとし、春暖、あたたかし、あたたけし,厳しい冬の寒さを抜け出し、肌に心地よく感じる春のぬくもり。身体の心地よさだけでなく、春の訪れに心が和らぐ気分をも豊かに包み込む時候季語。,時候
haru,三春,暖か,あたたか,暖気,2,,厳しい冬の寒さを抜け出し、肌に心地よく感じる春のぬくもり。身体の心地よさだけでなく、春の訪れに心が和らぐ気分をも豊かに包み込む時候季語。,時候
haru,三春,暖か,あたたか,春暖,2,,厳しい冬の寒さを抜け出し、肌に心地よく感じる春のぬくもり。身体の心地よさだけでなく、春の訪れに心が和らぐ気分をも豊かに包み込む時候季語。,時候
haru,三春,暖か,あたたか,あたゝか,4,,厳しい冬の寒さを抜け出し、肌に心地よく感じる春のぬくもり。身体の心地よさだけでなく、春の訪れに心が和らぐ気分をも豊かに包み込む時候季語。,時候
haru,三春,暖か,あたたか,あたたか,4,,厳しい冬の寒さを抜け出し、肌に心地よく感じる春のぬくもり。身体の心地よさだけでなく、春の訪れに心が和らぐ気分をも豊かに包み込む時候季語。,時候
haru,三春,暖か,あたたか,ぬくし,3,,厳しい冬の寒さを抜け出し、肌に心地よく感じる春のぬくもり。身体の心地よさだけでなく、春の訪れに心が和らぐ気分をも豊かに包み込む時候季語。,時候
haru,三春,麗か,うららか,うららか,4,うらら、うららけし、うららに、うらうら、麗日,春の陽光が穏やかに降り注ぎ、空も空気も万物も明るく輝いて見えるさま。光の柔らかさと長閑な春の景観を讃える言葉。,時候
haru,三春,麗か,うららか,麗日,2,,春の陽光が穏やかに降り注ぎ、空も空気も万物も明るく輝いて見えるさま。光の柔らかさと長閑な春の景観を讃える言葉。,時候
haru,三春,麗か,うららか,うららけし,5,,春の陽光が穏やかに降り注ぎ、空も空気も万物も明るく輝いて見えるさま。光の柔らかさと長閑な春の景観を讃える言葉。,時候
haru,三春,麗か,うららか,うららに,4,,春の陽光が穏やかに降り注ぎ、空も空気も万物も明るく輝いて見えるさま。光の柔らかさと長閑な春の景観を讃える言葉。,時候
haru,三春,麗か,うららか,うらうら,4,,春の陽光が穏やかに降り注ぎ、空も空気も万物も明るく輝いて見えるさま。光の柔らかさと長閑な春の景観を讃える言葉。,時候
haru,三春,麗か,うららか,麗,1,,春の陽光が穏やかに降り注ぎ、空も空気も万物も明るく輝いて見えるさま。光の柔らかさと長閑な春の景観を讃える言葉。,時候
haru,三春,麗か,うららか,麗らか,3,,春の陽光が穏やかに降り注ぎ、空も空気も万物も明るく輝いて見えるさま。光の柔らかさと長閑な春の景観を讃える言葉。,時候
haru,三春,麗か,うららか,麗か,2,,春の陽光が穏やかに降り注ぎ、空も空気も万物も明るく輝いて見えるさま。光の柔らかさと長閑な春の景観を讃える言葉。,時候
haru,三春,麗か,うららか,うらら,3,,春の陽光が穏やかに降り注ぎ、空も空気も万物も明るく輝いて見えるさま。光の柔らかさと長閑な春の景観を讃える言葉。,時候
